time.week,hazard,lower.ci,upper.ci
121.2857143,0.006571968,0.004965146,0.00869879
122.4285714,0.006486028,0.004885235,0.008611368
131,0.005955513,0.004436546,0.007994539
134.2857143,0.005790239,0.004296418,0.007803445
136.1428571,0.005708516,0.004229761,0.007704254
137.7142857,0.005640267,0.004170266,0.007628438
138.7142857,0.005597262,0.004131032,0.007583901
142.4285714,0.005447807,0.003991578,0.007435305
146.8571429,0.005310984,0.003878209,0.007273087
156,0.005075709,0.003661554,0.007036036
156.8571429,0.005057094,0.003643209,0.007019692
158.1428571,0.0050293,0.003614207,0.006998452
159,0.005010855,0.003593923,0.006986424
160,0.004989422,0.003569341,0.006974488
164.1428571,0.004913556,0.003505475,0.006887237
164.8571429,0.004900813,0.003493388,0.006875265
166.5714286,0.004870364,0.003462111,0.006851441
167.7142857,0.00485017,0.003439547,0.006839317
168.2857143,0.004840105,0.003427773,0.006834354
168.5714286,0.00483508,0.003421766,0.006832144
169.4285714,0.004820036,0.003403279,0.006826578
170.5714286,0.004799356,0.003385648,0.006803372
170.8571429,0.004794135,0.003381783,0.006796334
175.4285714,0.004711354,0.003307693,0.006710675
177.1428571,0.004680681,0.003274296,0.006691141
183.1428571,0.004574081,0.003173411,0.006592972
186.8571429,0.004509074,0.003103755,0.006550692
189.7142857,0.004459797,0.00305267,0.006515541
196,0.004353539,0.002940617,0.006445348
197,0.004336869,0.002919308,0.006442771
200,0.004287049,0.002866185,0.006412282
203,0.004237735,0.002809201,0.006392707
203.1428571,0.004235401,0.002806266,0.006392346
211.8571429,0.004097436,0.002621798,0.006403613
214.8571429,0.00405156,0.002550634,0.006435708
216,0.004034219,0.00252179,0.006453718
218.2857143,0.004001738,0.002469817,0.006483844
219.1428571,0.003989811,0.002449899,0.006497652
220,0.003977919,0.002429355,0.006513597
220.4285714,0.003971987,0.002418862,0.006522354
221.4285714,0.003958178,0.002393845,0.006544775
222.5714286,0.003942456,0.002364409,0.006573719
223.1428571,0.003934618,0.002349383,0.006589483
224.1428571,0.00392094,0.002322642,0.006619086
224.4285714,0.00391704,0.002314905,0.006628007
225.1428571,0.003907309,0.002295388,0.006651189
225.2857143,0.003905365,0.002291457,0.006655974
226,0.003895931,0.002272341,0.006679576
228.2857143,0.00386808,0.002214334,0.006756905
228.4285714,0.003866346,0.00221059,0.006762282
228.5714286,0.003864613,0.002206833,0.006767722
232.1428571,0.003821533,0.0021094,0.006923347
234,0.003799321,0.002056692,0.007018474
234.7142857,0.003790813,0.002036164,0.007057517
236.1428571,0.003775318,0.001996807,0.007137907
236.7142857,0.003769389,0.001981176,0.007171647
237.4285714,0.00376199,0.001961444,0.007215384
238,0.003756082,0.00194552,0.007251608
238.4285714,0.003751657,0.001933505,0.007279487
239.2857143,0.003742822,0.001909311,0.007337052
240.4285714,0.003731075,0.001876768,0.007417494
243.8571429,0.003696054,0.001777979,0.007683337
245.4285714,0.003681057,0.001733423,0.00781701
246,0.003675848,0.001717359,0.007867814
246.2857143,0.003673246,0.001709307,0.007893687
248.2857143,0.003655085,0.001652701,0.00808352
249,0.00364862,0.00163243,0.008154977
249.4285714,0.003644747,0.001620265,0.008198767
249.8571429,0.003640878,0.001608104,0.008243242
250.8571429,0.003631866,0.001579758,0.008349664
252,0.003621594,0.001547456,0.008475808
252.1428571,0.003620312,0.001543428,0.008491914
252.5714286,0.003616468,0.001531359,0.00854068
253.4285714,0.003608794,0.001507298,0.008640229
253.7142857,0.00360624,0.001499303,0.00867401
254.2857143,0.00360128,0.001483492,0.008742356
255,0.003595135,0.001463791,0.00882981
255.2857143,0.003592679,0.001455917,0.008865442
256.1428571,0.003585324,0.001432331,0.008974561
256.2857143,0.003584099,0.001428407,0.008993072
257.2857143,0.00357554,0.001401002,0.009125241
258.2857143,0.003567,0.001373738,0.009261947
261.4285714,0.003540295,0.001289313,0.009721218
261.8571429,0.003536669,0.00127798,0.009787346
262.4285714,0.00353184,0.001262945,0.009876832
263,0.003527018,0.001248001,0.009967825
265.4285714,0.003506301,0.001185339,0.010371837
266.5714286,0.003496583,0.001156321,0.01057327
268.7142857,0.003478436,0.001102875,0.010970885
273.2857143,0.003440014,0.000993723,0.011908446
277.5714286,0.003404284,0.000897462,0.012913239
281.8571429,0.003368924,0.000807537,0.014054651
